response_id,survey_date,respondent,respondent_role,question_id,question_category,response_value,month
1,2024-01-15,mark.smith,Senior Architect,Q001,Estimation,7.4,0
2,2024-01-15,mark.smith,Senior Architect,Q002,Refinement,7.6,0
3,2024-01-15,mark.smith,Senior Architect,Q003,Dark Work,12.5,0
4,2024-01-15,mark.smith,Senior Architect,Q004,Dependencies,7.1,0
5,2024-01-15,mark.smith,Senior Architect,Q005,Cross-functionality,7.5,0
6,2024-01-15,mark.smith,Senior Architect,Q006,Psychological Safety,8.1,0
7,2024-01-15,mark.smith,Senior Architect,Q007,Sprint Goals,8.2,0
8,2024-01-15,mark.smith,Senior Architect,Q008,Work Quality,8.3,0
9,2024-01-15,emma.jones,Senior Full-stack,Q001,Estimation,7.9,0
10,2024-01-15,emma.jones,Senior Full-stack,Q002,Refinement,7.1,0
11,2024-01-15,emma.jones,Senior Full-stack,Q003,Dark Work,12.3,0
12,2024-01-15,emma.jones,Senior Full-stack,Q004,Dependencies,7.1,0
13,2024-01-15,emma.jones,Senior Full-stack,Q005,Cross-functionality,7.7,0
14,2024-01-15,emma.jones,Senior Full-stack,Q006,Psychological Safety,8.0,0
15,2024-01-15,emma.jones,Senior Full-stack,Q007,Sprint Goals,8.4,0
16,2024-01-15,emma.jones,Senior Full-stack,Q008,Work Quality,7.9,0
17,2024-01-15,lisa.chen,Junior Frontend,Q001,Estimation,7.7,0
18,2024-01-15,lisa.chen,Junior Frontend,Q002,Refinement,7.8,0
19,2024-01-15,lisa.chen,Junior Frontend,Q003,Dark Work,15.0,0
20,2024-01-15,lisa.chen,Junior Frontend,Q004,Dependencies,7.3,0
21,2024-01-15,lisa.chen,Junior Frontend,Q005,Cross-functionality,7.8,0
22,2024-01-15,lisa.chen,Junior Frontend,Q006,Psychological Safety,8.4,0
23,2024-01-15,lisa.chen,Junior Frontend,Q007,Sprint Goals,8.0,0
24,2024-01-15,lisa.chen,Junior Frontend,Q008,Work Quality,8.4,0
25,2024-01-15,david.kumar,Backend Developer,Q001,Estimation,8.2,0
26,2024-01-15,david.kumar,Backend Developer,Q002,Refinement,7.3,0
27,2024-01-15,david.kumar,Backend Developer,Q003,Dark Work,14.4,0
28,2024-01-15,david.kumar,Backend Developer,Q004,Dependencies,7.6,0
29,2024-01-15,david.kumar,Backend Developer,Q005,Cross-functionality,7.7,0
30,2024-01-15,david.kumar,Backend Developer,Q006,Psychological Safety,8.5,0
31,2024-01-15,david.kumar,Backend Developer,Q007,Sprint Goals,7.9,0
32,2024-01-15,david.kumar,Backend Developer,Q008,Work Quality,7.8,0
33,2024-01-15,rachel.wilson,DevOps Engineer,Q001,Estimation,7.7,0
34,2024-01-15,rachel.wilson,DevOps Engineer,Q002,Refinement,7.5,0
35,2024-01-15,rachel.wilson,DevOps Engineer,Q003,Dark Work,11.7,0
36,2024-01-15,rachel.wilson,DevOps Engineer,Q004,Dependencies,8.0,0
37,2024-01-15,rachel.wilson,DevOps Engineer,Q005,Cross-functionality,7.7,0
38,2024-01-15,rachel.wilson,DevOps Engineer,Q006,Psychological Safety,8.9,0
39,2024-01-15,rachel.wilson,DevOps Engineer,Q007,Sprint Goals,7.6,0
40,2024-01-15,rachel.wilson,DevOps Engineer,Q008,Work Quality,7.9,0
41,2024-01-15,tom.garcia,Frontend Developer,Q001,Estimation,8.3,0
42,2024-01-15,tom.garcia,Frontend Developer,Q002,Refinement,7.7,0
